Student_ID,Student_Name,Gender,Age,Attendance (%),GPA (last semester),Study_Hours/week,Participation (%),Assignments_Score,Midterm_Score,Final_Score,Internet_Access,Part_time_Job,Dropout_Risk,Average_Score,GPA_Level
SAI0032,Aarav Kumar,Male,17,54.0,6.57,18.4,48.0,68.0,71.0,86.0,No,No,No,75.0,Medium
SAI0033,Ishita Sharma,Male,25,71.0,7.01,23.4,49.0,82.0,77.0,81.0,Yes,No,No,80.0,Medium
SML0034,Anaya Kumar,Female,17,60.0,7.33,14.7,42.0,58.0,86.0,81.0,Yes,No,No,75.0,Medium
SDS0035,Anaya Jain,Other,20,60.0,6.71,13.6,37.0,71.0,60.0,58.0,Yes,Yes,No,63.0,Medium
SDS0036,Anaya Kumar,Female,25,51.0,6.06,1.5,42.0,66.0,49.0,67.0,No,Yes,No,60.666666666666664,Medium
SDS0037,Myra Reddy,Male,17,67.0,5.51,19.7,40.0,34.0,51.0,45.0,Yes,No,No,43.333333333333336,Medium
SAI0038,Sai Mehta,Male,25,62.0,6.6,24.2,43.0,74.0,54.0,69.0,Yes,No,No,65.66666666666667,Medium
SCS0039,Myra Patel,Female,24,63.0,5.21,10.3,31.0,61.0,59.0,38.0,No,No,No,52.666666666666664,Medium
SML0040,Vivaan Gupta,Male,21,40.0,2.99,6.2,24.0,27.0,16.0,53.0,No,Yes,No,32.0,Low
SCS0041,Kiara Rao,Male,22,93.0,7.02,13.8,45.0,83.0,98.0,47.0,No,No,No,76.0,Medium
SCS0042,Arjun Patel,Female,21,61.0,7.58,20.9,47.0,87.0,91.0,94.0,Yes,No,No,90.66666666666667,High
SAI0043,Vivaan Jain,Male,20,49.0,3.66,14.8,33.0,38.0,37.0,37.0,Yes,Yes,No,37.333333333333336,Low
SDS0044,Diya Reddy,Female,20,64.0,5.29,4.5,33.0,48.0,63.0,46.0,Yes,Yes,No,52.333333333333336,Medium
SAI0045,Aarav Rao,Male,24,63.0,7.24,20.2,38.0,63.0,53.0,75.0,Yes,No,No,63.666666666666664,Medium
SCS0046,Arjun Mehta,Female,24,100.0,8.97,21.0,55.0,89.0,100.0,100.0,No,No,No,96.33333333333333,High
SDS0047,Vivaan Reddy,Male,25,69.0,6.52,16.9,48.0,71.0,58.0,86.0,Yes,No,No,71.66666666666667,Medium
SAI0048,Diya Reddy,Female,19,54.0,5.63,16.4,38.0,53.0,55.0,61.0,No,No,No,56.333333333333336,Medium
SAI0049,Ishita Singh,Female,24,55.0,6.28,14.8,39.0,41.0,41.0,49.0,Yes,No,No,43.666666666666664,Medium
SAI0050,Aditya Reddy,Male,19,74.0,8.15,19.9,49.0,94.0,87.0,82.0,Yes,No,No,87.66666666666667,High
SML0051,Arjun Sharma,Other,18,78.0,5.72,13.2,43.0,59.0,44.0,85.0,Yes,Yes,No,62.666666666666664,Medium
SDS0052,Sai Reddy,Female,18,55.0,5.54,18.7,32.0,52.0,57.0,76.0,Yes,No,No,61.666666666666664,Medium
SML0053,Sai Reddy,Female,25,67.0,5.92,16.9,41.0,68.0,53.0,73.0,Yes,Yes,No,64.66666666666667,Medium
SDS0054,Aditya Singh,Female,20,46.0,5.36,14.5,30.0,69.0,41.0,65.0,Yes,No,No,58.333333333333336,Medium
SDS0055,Kiara Singh,Female,21,59.0,6.65,10.3,38.0,38.0,57.0,77.0,No,No,No,57.333333333333336,Medium
SML0056,Diya Mehta,Female,18,95.0,8.45,19.2,53.0,89.0,87.0,100.0,Yes,No,No,92.0,High
SDS0057,Aarav Jain,Male,25,55.0,6.89,21.7,41.0,55.0,53.0,62.0,Yes,No,No,56.666666666666664,Medium
SAI0058,Diya Rao,Male,23,58.0,6.2,15.7,39.0,67.0,53.0,42.0,No,No,No,54.0,Medium
SCS0059,Aarav Verma,Male,19,62.0,6.15,18.7,41.0,63.0,69.0,63.0,Yes,No,No,65.0,Medium
SCS0060,Anaya Mehta,Male,22,47.0,4.62,20.4,12.0,53.0,77.0,34.0,Yes,No,No,54.666666666666664,Medium
SAI0061,Anaya Rao,Male,23,74.0,7.56,24.1,45.0,71.0,81.0,60.0,Yes,No,No,70.66666666666667,High
SAI0062,Myra Rao,Male,22,68.0,6.41,16.5,40.0,45.0,53.0,53.0,Yes,No,No,50.333333333333336,Medium
SDS0063,Aarav Singh,Female,22,70.0,6.28,13.2,49.0,58.0,58.0,100.0,No,No,No,72.0,Medium
SDS0064,Ishita Verma,Male,24,100.0,10.0,12.2,60.0,100.0,100.0,100.0,Yes,Yes,No,100.0,High
SCS0065,Aarav Kumar,Male,24,59.0,6.86,16.3,44.0,79.0,64.0,74.0,Yes,No,No,72.33333333333333,Medium
SML0066,Anaya Reddy,Female,21,53.0,5.6,12.4,43.0,44.0,67.0,38.0,Yes,No,No,49.666666666666664,Medium
SAI0067,Anaya Verma,Male,20,72.0,5.99,16.9,34.0,70.0,62.0,32.0,Yes,No,No,54.666666666666664,Medium
SAI0068,Aditya Sharma,Female,21,88.0,7.88,18.9,55.0,72.0,90.0,66.0,Yes,No,No,76.0,High
SDS0069,Arjun Reddy,Male,25,53.0,6.64,15.0,37.0,70.0,63.0,88.0,Yes,No,No,73.66666666666667,Medium
SCS0070,Arjun Mehta,Other,22,51.0,4.77,3.0,29.0,43.0,64.0,53.0,No,Yes,No,53.333333333333336,Medium
SAI0071,Diya Gupta,Female,19,56.0,7.6,14.3,42.0,78.0,74.0,85.0,Yes,No,No,79.0,High
SDS0072,Ishita Reddy,Male,19,57.0,5.7,16.6,33.0,66.0,45.0,68.0,Yes,No,No,59.666666666666664,Medium
SAI0073,Myra Gupta,Male,17,100.0,8.75,30.4,72.0,75.0,100.0,79.0,Yes,No,No,84.66666666666667,High
SCS0074,Anaya Kumar,Female,21,68.0,7.8,19.0,53.0,71.0,56.0,99.0,Yes,No,No,75.33333333333333,High
SAI0075,Arjun Kumar,Female,22,51.0,5.96,16.5,43.0,61.0,51.0,50.0,Yes,No,No,54.0,Medium
SDS0076,Vivaan Gupta,Female,24,88.0,8.04,24.9,56.0,100.0,73.0,100.0,Yes,No,No,91.0,High
SAI0077,Vivaan Patel,Female,25,50.0,6.58,12.4,32.0,57.0,96.0,72.0,No,No,No,75.0,Medium
SDS0078,Aditya Gupta,Male,23,69.0,7.52,20.6,50.0,96.0,97.0,48.0,Yes,No,No,80.33333333333333,High
SCS0079,Arjun Reddy,Male,17,77.0,7.08,14.0,52.0,91.0,89.0,60.0,Yes,Yes,No,80.0,Medium
SAI0080,Aditya Kumar,Male,23,49.0,5.48,18.0,30.0,54.0,51.0,28.0,Yes,No,No,44.333333333333336,Medium
SCS0081,Ishita Rao,Female,25,55.0,5.73,15.1,42.0,54.0,86.0,75.0,No,No,No,71.66666666666667,Medium
SAI0082,Ishita Verma,Female,20,85.0,7.74,20.8,55.0,70.0,82.0,77.0,Yes,No,No,76.33333333333333,High
SCS0083,Kiara Verma,Male,23,65.0,6.1,11.3,50.0,60.0,73.0,28.0,No,No,No,53.666666666666664,Medium
SDS0084,Myra Verma,Male,25,63.0,6.02,18.6,37.0,46.0,62.0,66.0,Yes,No,No,58.0,Medium
SML0085,Diya Rao,Male,17,50.0,5.35,23.8,29.0,53.0,53.0,45.0,Yes,No,No,50.333333333333336,Medium
SML0086,Anaya Reddy,Male,25,74.0,7.01,12.5,44.0,85.0,67.0,48.0,No,Yes,No,66.66666666666667,Medium
SAI0087,Myra Reddy,Female,20,89.0,8.98,20.7,65.0,84.0,87.0,100.0,Yes,No,No,90.33333333333333,High
SCS0088,Aditya Kumar,Female,24,57.0,5.22,14.2,25.0,50.0,59.0,54.0,No,Yes,No,54.333333333333336,Medium
SML0089,Arjun Kumar,Female,19,60.0,6.53,20.3,31.0,48.0,70.0,61.0,Yes,No,No,59.666666666666664,Medium
SDS0090,Diya Singh,Male,18,80.0,8.19,17.7,53.0,86.0,82.0,76.0,Yes,No,No,81.33333333333333,High
SAI0091,Myra Patel,Male,24,54.0,6.4,1.8,38.0,67.0,82.0,41.0,No,Yes,No,63.333333333333336,Medium
SCS0092,Vivaan Verma,Female,24,70.0,7.04,24.4,46.0,71.0,35.0,51.0,Yes,No,No,52.333333333333336,Medium
SCS0093,Diya Sharma,Female,19,44.0,5.23,16.9,37.0,50.0,58.0,72.0,Yes,No,No,60.0,Medium
SAI0094,Aditya Verma,Female,24,59.0,7.01,8.8,41.0,67.0,79.0,63.0,No,Yes,No,69.66666666666667,Medium
SML0095,Arjun Jain,Female,22,65.0,6.28,12.7,32.0,68.0,77.0,63.0,No,No,No,69.33333333333333,Medium
SDS0096,Ishita Verma,Female,25,79.0,7.68,27.0,60.0,77.0,76.0,46.0,Yes,No,No,66.33333333333333,High
SML0097,Aditya Verma,Female,22,87.0,7.92,27.1,48.0,82.0,82.0,59.0,Yes,No,No,74.33333333333333,High
SAI0098,Vivaan Jain,Male,24,92.0,9.61,28.7,57.0,98.0,100.0,100.0,Yes,No,No,99.33333333333333,High
SML0099,Kiara Sharma,Male,18,76.0,7.2,17.1,53.0,83.0,90.0,78.0,Yes,No,No,83.66666666666667,Medium
SAI0100,Sai Mehta,Male,17,74.0,6.89,17.6,44.0,76.0,65.0,95.0,Yes,No,No,78.66666666666667,Medium
SAI0101,Anaya Mehta,Male,18,72.0,6.73,16.2,44.0,69.0,71.0,87.0,Yes,No,No,75.66666666666667,Medium
SAI0102,Kiara Mehta,Female,20,53.0,6.08,20.8,41.0,76.0,81.0,57.0,Yes,No,No,71.33333333333333,Medium
SAI0103,Aditya Jain,Male,25,71.0,6.91,12.9,51.0,73.0,44.0,76.0,Yes,No,No,64.33333333333333,Medium
SAI0104,Myra Patel,Female,23,65.0,6.15,11.3,39.0,75.0,53.0,57.0,No,No,No,61.666666666666664,Medium
SAI0105,Ishita Patel,Female,25,67.0,6.7,21.8,51.0,73.0,85.0,98.0,Yes,No,No,85.33333333333333,Medium
SCS0106,Diya Gupta,Male,25,60.0,8.08,20.0,39.0,62.0,94.0,98.0,Yes,No,No,84.66666666666667,High
SML0107,Diya Reddy,Male,25,55.0,5.29,20.1,38.0,66.0,59.0,55.0,Yes,No,No,60.0,Medium
SCS0108,Aarav Reddy,Female,24,100.0,7.87,16.3,50.0,80.0,73.0,82.0,Yes,No,No,78.33333333333333,High
SML0109,Vivaan Jain,Male,22,77.0,8.08,19.9,59.0,80.0,70.0,100.0,Yes,No,No,83.33333333333333,High
SML0110,Diya Reddy,Male,23,56.0,6.36,11.3,41.0,66.0,56.0,72.0,No,Yes,No,64.66666666666667,Medium
SML0111,Aarav Gupta,Male,18,43.0,3.95,9.9,23.0,36.0,58.0,63.0,No,Yes,No,52.333333333333336,Low
SDS0112,Vivaan Gupta,Male,17,61.0,5.77,7.0,41.0,60.0,50.0,25.0,No,Yes,No,45.0,Medium
SCS0113,Aarav Sharma,Female,21,92.0,8.06,17.7,59.0,75.0,82.0,87.0,Yes,No,No,81.33333333333333,High
SDS0114,Sai Verma,Female,24,52.0,6.47,9.0,43.0,77.0,56.0,57.0,Yes,No,No,63.333333333333336,Medium
SML0115,Sai Sharma,Female,19,60.0,5.3,16.7,30.0,52.0,63.0,79.0,Yes,No,No,64.66666666666667,Medium
SML0116,Arjun Verma,Female,23,65.0,5.89,18.3,37.0,55.0,52.0,82.0,No,No,No,63.0,Medium
SDS0117,Kiara Singh,Female,21,74.0,7.51,10.1,49.0,66.0,74.0,76.0,Yes,No,No,72.0,High
SAI0118,Sai Reddy,Male,24,75.0,7.16,24.6,47.0,74.0,51.0,95.0,Yes,No,No,73.33333333333333,Medium
SML0119,Aarav Gupta,Female,22,72.0,6.21,28.0,46.0,64.0,43.0,89.0,Yes,No,No,65.33333333333333,Medium
SCS0120,Aarav Kumar,Female,22,69.0,6.06,15.4,31.0,64.0,61.0,62.0,Yes,No,No,62.333333333333336,Medium
SML0121,Ishita Mehta,Female,23,49.0,6.03,11.9,39.0,50.0,44.0,97.0,No,No,No,63.666666666666664,Medium
SAI0122,Diya Verma,Female,23,62.0,5.39,27.6,35.0,38.0,79.0,53.0,Yes,No,No,56.666666666666664,Medium
SCS0123,Anaya Sharma,Male,20,84.0,8.44,14.5,51.0,91.0,60.0,81.0,No,No,No,77.33333333333333,High
SDS0124,Ishita Reddy,Male,24,62.0,6.11,15.4,36.0,76.0,52.0,74.0,Yes,No,No,67.33333333333333,Medium
SCS0125,Aditya Singh,Male,22,80.0,7.96,20.8,51.0,69.0,80.0,74.0,Yes,No,No,74.33333333333333,High
SML0126,Arjun Mehta,Male,24,82.0,8.33,27.5,36.0,99.0,79.0,85.0,Yes,No,No,87.66666666666667,High
SML0127,Myra Singh,Female,23,89.0,7.7,21.0,48.0,80.0,64.0,98.0,Yes,No,No,80.66666666666667,High
SML0128,Arjun Singh,Female,17,59.0,5.98,12.5,34.0,60.0,48.0,60.0,Yes,No,No,56.0,Medium
SML0129,Ishita Mehta,Male,20,59.0,6.98,12.7,46.0,66.0,58.0,44.0,No,No,No,56.0,Medium
SAI0130,Diya Singh,Female,23,61.0,6.47,14.5,37.0,51.0,61.0,70.0,Yes,No,No,60.666666666666664,Medium
SCS0131,Aditya Patel,Male,25,56.0,5.42,8.5,34.0,64.0,78.0,44.0,No,No,No,62.0,Medium
SDS0132,Ishita Patel,Male,18,81.0,6.89,17.5,54.0,61.0,70.0,82.0,Yes,Yes,No,71.0,Medium
SAI0133,Arjun Rao,Male,21,57.0,5.09,9.9,39.0,43.0,65.0,61.0,Yes,No,No,56.333333333333336,Medium
SCS0134,Vivaan Gupta,Male,25,71.0,7.93,12.3,55.0,89.0,85.0,100.0,Yes,No,No,91.33333333333333,High
SAI0135,Ishita Rao,Female,25,84.0,5.94,21.1,40.0,41.0,73.0,73.0,Yes,No,No,62.333333333333336,Medium
SAI0136,Myra Kumar,Male,22,70.0,6.74,14.4,47.0,52.0,34.0,84.0,Yes,Yes,No,56.666666666666664,Medium
SDS0137,Kiara Kumar,Female,23,81.0,6.84,10.8,45.0,68.0,65.0,58.0,Yes,Yes,No,63.666666666666664,Medium
SCS0138,Kiara Kumar,Female,25,60.0,6.19,14.6,39.0,65.0,78.0,74.0,Yes,No,No,72.33333333333333,Medium
SML0139,Ishita Sharma,Male,24,77.0,7.2,18.4,50.0,77.0,65.0,100.0,Yes,No,No,80.66666666666667,Medium
SDS0140,Diya Sharma,Other,22,68.0,5.93,6.1,37.0,56.0,80.0,49.0,No,Yes,No,61.666666666666664,Medium
SAI0141,Sai Patel,Other,22,88.0,7.55,20.5,58.0,100.0,93.0,100.0,Yes,No,No,97.66666666666667,High
SCS0142,Ishita Gupta,Male,23,59.0,4.88,7.0,33.0,47.0,43.0,41.0,No,Yes,No,43.666666666666664,Medium
SAI0143,Arjun Patel,Female,23,75.0,6.65,25.2,48.0,64.0,60.0,54.0,Yes,No,No,59.333333333333336,Medium
SAI0144,Anaya Mehta,Male,18,85.0,8.83,24.7,64.0,80.0,76.0,93.0,Yes,No,No,83.0,High
SCS0145,Kiara Kumar,Male,25,47.0,5.3,11.2,39.0,54.0,45.0,64.0,No,Yes,No,54.333333333333336,Medium
SDS0146,Arjun Reddy,Male,20,60.0,5.69,10.5,30.0,63.0,42.0,71.0,No,Yes,No,58.666666666666664,Medium
SDS0147,Diya Patel,Female,25,80.0,7.12,17.3,50.0,83.0,76.0,57.0,Yes,No,No,72.0,Medium
SML0148,Kiara Rao,Female,19,65.0,6.72,19.9,48.0,52.0,50.0,74.0,Yes,No,No,58.666666666666664,Medium
SAI0149,Myra Reddy,Male,21,80.0,6.92,17.2,51.0,67.0,76.0,59.0,Yes,No,No,67.33333333333333,Medium
SML0150,Kiara Verma,Male,21,85.0,7.09,16.6,43.0,75.0,78.0,49.0,Yes,No,No,67.33333333333333,Medium
SCS0151,Kiara Gupta,Female,23,63.0,7.26,18.4,43.0,78.0,53.0,59.0,Yes,No,No,63.333333333333336,Medium
SCS0152,Anaya Reddy,Male,20,70.0,7.83,16.6,55.0,78.0,97.0,67.0,Yes,No,No,80.66666666666667,High
SML0153,Anaya Verma,Male,20,69.0,6.99,15.8,41.0,75.0,76.0,78.0,No,No,No,76.33333333333333,Medium
SCS0154,Kiara Jain,Female,17,65.0,6.21,5.1,39.0,54.0,71.0,79.0,Yes,Yes,No,68.0,Medium
SAI0155,Myra Mehta,Other,22,68.0,7.31,23.1,55.0,89.0,64.0,51.0,Yes,No,No,68.0,Medium
SAI0156,Myra Reddy,Male,20,100.0,8.78,23.4,59.0,98.0,95.0,93.0,Yes,No,No,95.33333333333333,High
SAI0157,Sai Mehta,Female,21,68.0,6.34,12.0,38.0,50.0,77.0,46.0,No,No,No,57.666666666666664,Medium
SDS0158,Sai Patel,Female,25,54.0,5.33,22.8,30.0,43.0,52.0,63.0,Yes,No,No,52.666666666666664,Medium
SAI0159,Ishita Sharma,Male,20,64.0,7.83,20.0,50.0,68.0,100.0,69.0,Yes,No,No,79.0,High
SDS0160,Ishita Reddy,Female,17,50.0,6.36,10.7,33.0,70.0,64.0,48.0,Yes,No,No,60.666666666666664,Medium
SML0161,Aarav Sharma,Male,25,42.0,3.89,14.0,24.0,26.0,53.0,51.0,Yes,No,No,43.333333333333336,Low
SCS0162,Sai Sharma,Female,21,54.0,7.52,20.8,47.0,72.0,79.0,66.0,Yes,No,No,72.33333333333333,High
SML0163,Vivaan Gupta,Female,23,69.0,5.86,16.6,46.0,63.0,66.0,54.0,Yes,No,No,61.0,Medium
SDS0164,Kiara Verma,Female,19,62.0,6.39,13.8,45.0,63.0,44.0,31.0,No,No,No,46.0,Medium
SAI0165,Vivaan Sharma,Male,20,100.0,6.9,19.5,46.0,72.0,73.0,83.0,Yes,No,No,76.0,Medium
SML0166,Kiara Mehta,Female,25,90.0,6.73,15.5,53.0,57.0,58.0,80.0,No,No,No,65.0,Medium
SAI0167,Anaya Gupta,Male,17,72.0,7.35,21.2,46.0,79.0,63.0,74.0,Yes,No,No,72.0,Medium
SDS0168,Kiara Reddy,Male,21,59.0,5.98,5.4,33.0,54.0,81.0,37.0,No,Yes,No,57.333333333333336,Medium
SAI0169,Sai Rao,Male,24,81.0,7.12,15.6,47.0,68.0,69.0,89.0,Yes,Yes,No,75.33333333333333,Medium
SML0170,Diya Sharma,Female,23,79.0,6.19,24.1,50.0,64.0,50.0,52.0,Yes,No,No,55.333333333333336,Medium
SCS0171,Myra Verma,Female,20,57.0,7.39,14.6,46.0,75.0,70.0,67.0,No,No,No,70.66666666666667,Medium
SML0172,Arjun Verma,Male,23,55.0,7.24,15.1,44.0,73.0,57.0,100.0,Yes,Yes,No,76.66666666666667,Medium
SDS0173,Sai Singh,Female,17,48.0,5.38,11.2,42.0,46.0,71.0,43.0,No,No,No,53.333333333333336,Medium
SML0174,Sai Reddy,Male,22,84.0,7.8,13.4,44.0,75.0,70.0,89.0,No,No,No,78.0,High
SML0175,Anaya Sharma,Female,25,64.0,5.86,3.6,32.0,59.0,65.0,67.0,No,Yes,No,63.666666666666664,Medium
SAI0176,Aditya Gupta,Male,19,85.0,7.47,17.5,42.0,61.0,91.0,81.0,No,No,No,77.66666666666667,Medium
SCS0177,Vivaan Jain,Female,20,57.0,6.94,18.0,45.0,65.0,63.0,74.0,Yes,No,No,67.33333333333333,Medium
SML0178,Ishita Patel,Male,24,64.0,8.71,21.5,54.0,91.0,93.0,93.0,Yes,No,No,92.33333333333333,High
SAI0179,Kiara Patel,Female,21,71.0,6.23,14.9,50.0,50.0,50.0,66.0,No,Yes,No,55.333333333333336,Medium
SAI0180,Vivaan Reddy,Male,21,53.0,6.08,15.4,40.0,72.0,90.0,60.0,No,Yes,No,74.0,Medium
SML0181,Anaya Kumar,Male,17,45.0,6.48,21.3,37.0,77.0,76.0,87.0,Yes,No,No,80.0,Medium
SAI0182,Arjun Mehta,Male,22,63.0,6.14,14.4,40.0,49.0,59.0,42.0,Yes,No,No,50.0,Medium
SML0183,Kiara Reddy,Female,18,83.0,7.46,15.8,50.0,88.0,65.0,90.0,Yes,No,No,81.0,Medium
SAI0184,Arjun Verma,Female,17,44.0,4.56,10.0,21.0,44.0,44.0,58.0,Yes,No,No,48.666666666666664,Medium
SAI0185,Myra Mehta,Male,22,48.0,5.24,16.0,47.0,57.0,48.0,63.0,Yes,No,No,56.0,Medium
SML0186,Anaya Gupta,Female,21,51.0,5.22,20.1,36.0,47.0,76.0,69.0,Yes,No,No,64.0,Medium
SDS0187,Diya Rao,Female,21,73.0,7.64,16.0,50.0,86.0,62.0,75.0,Yes,No,No,74.33333333333333,High
SAI0188,Sai Singh,Female,25,72.0,8.55,21.9,57.0,90.0,87.0,57.0,No,No,No,78.0,High
SCS0189,Myra Gupta,Female,19,57.0,6.37,17.6,44.0,56.0,64.0,63.0,No,No,No,61.0,Medium
SDS0190,Myra Kumar,Male,17,68.0,6.3,10.8,41.0,51.0,62.0,48.0,No,No,No,53.666666666666664,Medium
SDS0191,Sai Reddy,Male,24,69.0,6.58,16.6,40.0,51.0,65.0,55.0,Yes,No,No,57.0,Medium
SDS0192,Myra Kumar,Female,21,81.0,7.89,12.4,55.0,81.0,78.0,60.0,Yes,Yes,No,73.0,High
SAI0193,Kiara Reddy,Female,21,44.0,5.39,4.6,35.0,60.0,64.0,47.0,No,No,No,57.0,Medium
SML0194,Aditya Jain,Female,24,66.0,6.79,18.8,40.0,74.0,75.0,59.0,Yes,No,No,69.33333333333333,Medium
SAI0195,Arjun Patel,Male,24,55.0,7.67,17.3,54.0,76.0,82.0,41.0,Yes,No,No,66.33333333333333,High
SCS0196,Aditya Sharma,Male,18,73.0,7.1,18.8,48.0,59.0,35.0,82.0,Yes,Yes,No,58.666666666666664,Medium
SDS0197,Myra Reddy,Female,19,82.0,6.73,16.7,50.0,60.0,71.0,100.0,Yes,No,No,77.0,Medium
SCS0198,Ishita Singh,Female,17,62.0,7.7,14.4,55.0,89.0,57.0,86.0,No,No,No,77.33333333333333,High
SCS0199,Kiara Patel,Female,19,40.0,3.26,7.9,22.0,28.0,40.0,30.0,Yes,Yes,No,32.666666666666664,Low
SDS0200,Anaya Rao,Female,20,76.0,7.31,12.1,50.0,75.0,91.0,72.0,Yes,No,No,79.33333333333333,Medium
SAI0201,Ishita Mehta,Female,23,70.0,5.72,21.2,43.0,46.0,46.0,51.0,Yes,No,No,47.666666666666664,Medium
SML0202,Myra Jain,Male,25,40.0,4.3,4.0,24.0,46.0,40.0,44.0,No,Yes,Yes,43.333333333333336,Low
SCS0203,Sai Verma,Male,21,64.0,7.11,16.8,45.0,67.0,64.0,71.0,Yes,No,No,67.33333333333333,Medium
SDS0204,Vivaan Mehta,Female,17,62.0,8.15,15.2,51.0,92.0,96.0,69.0,No,Yes,No,85.66666666666667,High
SDS0205,Sai Jain,Female,18,64.0,6.34,18.7,37.0,71.0,64.0,89.0,Yes,No,No,74.66666666666667,Medium
SAI0206,Kiara Sharma,Male,18,97.0,7.64,17.5,64.0,71.0,97.0,54.0,Yes,No,No,74.0,High
SCS0207,Sai Sharma,Male,25,87.0,8.43,18.5,48.0,83.0,89.0,95.0,Yes,No,No,89.0,High
SCS0208,Arjun Verma,Female,23,81.0,8.08,24.5,46.0,75.0,84.0,79.0,Yes,No,No,79.33333333333333,High
SAI0209,Anaya Jain,Male,18,88.0,8.47,21.3,62.0,70.0,85.0,100.0,Yes,No,No,85.0,High
SML0210,Vivaan Verma,Male,17,74.0,7.39,21.1,52.0,65.0,84.0,79.0,Yes,No,No,76.0,Medium
SAI0211,Kiara Gupta,Female,21,58.0,6.59,11.6,36.0,68.0,45.0,61.0,Yes,No,No,58.0,Medium
